FID,Shape *,Lakes_OBJE,FDate,GNIS_Name,Shape_Leng,Shape_Area,EWM,VLM,CLP,WC,Fan,SWF,BN,YFH,Inv,Durb,Road_Dens,X,Y,ele,Lakes_freq,ws_area,area_up,sf_dens,ewm_up,launch_num,edit,URB_ISO,Lakes1.public_acc,Lakes1.vlm_up,Rowid,LAKES_POINT *,X,Y,CLIMTMIN_4,CLIMTMIN_3,CLIMTMIN_2,CLIMTMIN_1,CLIMTMIN_12,CLIMTMIN_11,CLIMTMIN_10,CLIMTMEAN_4,CLIMTMEAN_3,CLIMTMEAN_2,CLIMTMEAN_1,CLIMTMEAN_12,CLIMTMEAN_11,CLIMTMEAN_10,CLIMTMAX_4,CLIMTMAX_3,CLIMTMAX_2,CLIMTMAX_1,CLIMTMAX_12,CLIMTMAX_11,CLIMTMAX_10,CLIMTMIN_9,CLIMTMIN_8,CLIMTMIN_7,CLIMTMIN_6,CLIMTMIN_5,CLIMTMEAN_9,CLIMTMEAN_8,CLIMTMEAN_7,CLIMTMEAN_6,CLIMTMEAN_5,CLIMTMAX_9,CLIMTMAX_8,CLIMTMAX_7,CLIMTMAX_6,CLIMTMAX_5
44,Polygon ZM,127173,7/27/2009,Soft Maple Reservoir,27.732564,176.392528,0,0,0,0,0,0,0,0,0,23243.53766,4.301888,483055.6271,4862092.146,392.700012,28,633.437788,5544.883662,0,0,1,1,224.122825,1,2,79,44,483055.6271,4862092.146,-13,-87,-144,-152,-112,-30,17,47,-28,-82,-94,-62,14,75,107,31,-20,-36,-11,59,134,75,115,123,98,47,135,176,186,163,114,195,238,250,228,181
45,Polygon ZM,128068,12/10/2011,Hoel Pond,10.398613,186.974645,0,0,0,0,0,0,0,0,0,13656.21102,3.871494,551820.4554,4910991.759,493,167,7.974043,20.132047,0,0,0,0,170.934844,1,0,35,45,551820.4554,4910991.759,-21,-95,-151,-158,-119,-39,8,39,-35,-89,-99,-67,6,67,100,26,-26,-40,-15,52,127,65,105,115,89,38,127,169,180,156,107,189,233,246,223,176
46,Polygon ZM,128186,12/10/2011,Buck Pond,3.930478,53.759008,0,0,0,0,0,0,0,0,0,16815.82761,3.631943,570747.6486,4928639.809,508.700012,117,3.916409,1.074543,0,0,2,0,151.320891,1,0,14,46,570747.6486,4928639.809,-20,-93,-150,-157,-120,-41,9,39,-35,-90,-100,-69,4,66,98,24,-29,-43,-18,49,124,65,107,118,92,39,125,169,182,157,106,186,231,246,222,174
47,Polygon ZM,129001,12/10/2011,Rollins Pond,13.749111,183.324084,0,0,0,0,0,0,0,0,0,6783.979884,3.368919,546768.5059,4906535.88,479,22,23.983517,140.136779,0,0,2,0,176.117792,1,0,43,47,546768.5059,4906535.88,-21,-95,-150,-157,-118,-39,9,40,-34,-87,-98,-66,7,69,101,27,-24,-39,-14,53,129,65,105,115,90,39,128,169,181,157,108,191,234,248,224,177
48,Polygon ZM,129004,12/10/2011,Loon Lake,13.352284,143.771351,0,0,0,0,0,0,0,0,0,22443.27019,6.394762,573007.8243,4934861.647,522.100037,117,8.651516,7.292237,0,0,0,0,146.719167,0,0,10,48,573007.8243,4934861.647,-20,-93,-151,-158,-120,-41,9,38,-36,-92,-102,-70,3,66,96,22,-32,-45,-20,47,123,65,106,119,92,40,124,167,182,156,106,184,229,245,220,173
49,Polygon ZM,129497,12/10/2011,Green Pond,2.567132,26.114613,0,0,0,0,0,0,0,0,0,13712.41371,4.56375,552810.4145,4909822.943,479.5,167,1.106942,2.223388,0.193941,0,1,0,170.77347,1,0,37,49,552810.4145,4909822.943,-21,-96,-151,-158,-120,-40,8,39,-35,-89,-99,-68,5,67,100,26,-26,-40,-16,51,127,63,104,114,89,38,125,168,180,155,107,188,232,246,222,176
50,Polygon ZM,129520,12/10/2011,Lake Kushaqua,13.720278,153.754634,0,0,0,0,0,0,0,0,0,16739.07722,3.636981,570377.4746,4929966.747,508.700012,117,73.14068,412.708895,0,0,1,0,151.939676,1,0,13,50,570377.4746,4929966.747,-20,-93,-150,-157,-120,-41,9,39,-35,-90,-100,-70,4,66,98,23,-30,-43,-19,49,124,65,107,118,92,39,125,169,182,157,106,186,231,246,222,174
51,Polygon ZM,129856,12/10/2011,Lake Clear,17.660792,448.191147,0,0,0,0,0,0,0,0,0,7598.886241,3.912783,559552.8527,4913083.963,491,167,32.515984,15.809239,0.238793,0,0,0,169.692827,0,0,33,51,559552.8527,4913083.963,-20,-94,-151,-158,-119,-40,9,40,-34,-89,-100,-68,6,68,101,26,-26,-41,-16,52,128,65,104,115,89,38,127,168,181,156,107,189,233,247,223,176
52,Polygon ZM,129972,12/10/2011,Inlet,13.627454,57.105449,0,0,0,0,0,0,0,0,0,12965.05176,1.587133,565704.2369,4925156.202,509,117,5.98347,0,0,0,0,0,156.806259,0,0,20,52,565704.2369,4925156.202,-21,-95,-151,-158,-120,-41,9,38,-36,-90,-101,-69,4,67,98,23,-29,-43,-18,49,125,64,105,116,90,38,124,167,180,155,106,185,230,245,221,174
53,Polygon ZM,130847,12/10/2011,Little Clear Pond,9.9894,150.973111,0,0,0,0,0,0,0,0,0,10370.29351,0.624958,556994.8765,4912360.848,487,167,6.482058,48.928385,0.027603,0,1,0,168.693841,1,0,34,53,556994.8765,4912360.848,-21,-95,-151,-158,-120,-40,8,39,-35,-89,-99,-68,5,67,100,26,-26,-40,-16,51,127,63,104,114,89,38,125,168,179,155,107,188,232,245,222,176
54,Polygon ZM,19180,10/30/2012,Lewey Lake,8.131107,148.998419,0,0,0,0,0,0,0,0,0,50259.24604,2.417266,548486.2716,4831952.011,503.300018,72,67.421457,52.6111,0.109355,0,3,0,228.232073,1,0,111,54,548486.2716,4831952.011,-20,-88,-141,-148,-109,-34,12,42,-28,-79,-90,-60,12,72,104,32,-17,-32,-10,58,133,69,104,113,87,39,131,168,178,154,108,193,232,243,221,177
55,Polygon ZM,18166,4/10/2009,Lake Luzerne,6.102458,41.972779,1,0,1,0,0,0,0,0,1,6527.100006,12.143558,594657.0433,4797352.002,190.199997,338,66.288273,116.71964,0.13011,0,2,0,242.183524,1,0,130,55,594657.0433,4797352.002,1,-61,-122,-133,-93,-17,27,66,-3,-61,-74,-44,30,89,131,56,0,-15,5,78,152,86,128,139,111,61,149,193,206,178,130,213,259,273,246,200
56,Polygon ZM,18756,4/10/2009,North Pond,2.898748,12.177403,1,0,0,0,0,0,0,0,1,14717.52686,5.729939,614455.6504,4844365.523,504.800018,83,0.758023,0,1.527658,0,0,0,185.207238,0,0,101,56,614455.6504,4844365.523,-15,-81,-140,-149,-108,-35,13,45,-24,-80,-92,-59,11,72,105,33,-19,-34,-10,57,131,69,111,121,95,46,131,173,185,160,113,193,236,250,226,181
57,Polygon ZM,19177,1/12/2013,Sacandaga Lake,21.883987,650.258795,0,0,0,0,0,1,0,0,1,41755.11602,5.149899,546761.3643,4814344.887,525.799988,40,46.758194,0,0.157559,0,2,0,246.680364,1,0,122,57,546761.3643,4814344.887,-18,-86,-139,-146,-108,-33,13,43,-27,-78,-90,-60,12,73,105,32,-17,-33,-11,58,133,71,107,116,89,41,131,169,179,154,108,192,232,243,220,176
58,Polygon ZM,19178,10/30/2012,Durant Lake,20.928278,147.448209,0,1,0,0,0,0,0,0,1,39124.22116,3.847669,547092.4192,4854760.63,539.600037,221,60.477402,95.688074,0.062318,0,1,0,211.254518,1,0,86,58,547092.4192,4854760.63,-24,-95,-147,-154,-115,-38,8,38,-33,-84,-95,-64,8,69,100,29,-21,-36,-13,54,130,64,100,108,83,36,126,164,173,150,105,189,229,239,218,174
59,Polygon ZM,19179,11/1/2010,Peck Lake,21.743656,573.477976,0,1,0,0,0,1,0,0,1,4455.103943,4.0563,547757.2245,4773275.01,420.899994,10,45.701722,0,0.045663,0,1,0,286.478431,0,0,136,59,547757.2245,4773275.01,-7,-71,-124,-132,-94,-24,22,54,-16,-67,-79,-48,21,82,115,39,-10,-25,-2,67,142,80,119,129,103,53,140,181,192,168,119,201,244,256,233,185
60,Polygon ZM,22342,2/4/2010,Lake Algonquin,10.385817,104.837925,1,0,0,0,0,0,0,0,1,30595.21758,10.179335,557246.839,4805060.303,301.100006,449,587.670839,643.804216,0.084752,0,0,0,250.337261,1,0,126,60,557246.839,4805060.303,-7,-72,-127,-135,-96,-23,22,56,-14,-67,-79,-48,23,84,119,45,-6,-22,0,70,146,80,119,128,101,52,142,183,194,168,120,205,248,260,236,189
61,Polygon ZM,22345,10/30/2012,Brant Lake,43.10026,615.709256,1,0,1,0,0,0,0,0,1,18206.2991,9.351074,604505.0163,4841174.804,243.5,165,105.58067,210.277902,0.179317,1,2,0,202.054482,1,0,103,61,604505.0163,4841174.804,-2,-68,-130,-140,-98,-22,22,61,-10,-68,-81,-49,25,84,124,49,-5,-21,1,72,147,80,122,133,106,57,145,187,201,174,127,210,253,269,243,197
62,Polygon ZM,27286,4/10/2009,Minerva Lake,5.047914,31.888699,1,0,0,0,0,0,0,0,1,33789.92881,2.483162,582284.5763,4849456.383,370,76,9.180488,15.785805,0.457675,0,0,0,199.318756,0,0,93,62,582284.5763,4849456.383,-12,-80,-137,-147,-106,-30,15,50,-20,-75,-88,-56,17,77,113,41,-12,-28,-5,64,139,72,110,120,94,46,136,175,186,162,116,200,241,253,230,186
63,Polygon ZM,28708,8/13/2009,Piseco Lake,35.561077,1152.409978,0,0,0,0,0,1,0,0,1,36924.03562,4.974434,536727.3447,4806631.127,506.100006,126,160.371487,339.373891,0.104104,0,3,0,262.479425,1,0,125,63,536727.3447,4806631.127,-16,-84,-137,-144,-107,-32,14,45,-26,-77,-88,-59,13,73,106,33,-17,-32,-10,58,133,72,110,118,91,43,132,172,182,156,110,193,234,246,222,177
64,Polygon ZM,28710,1/12/2013,Lake Pleasant,17.08237,596.757447,0,0,0,0,0,1,0,0,1,39698.25822,6.968361,551442.6188,4815098.573,525.900024,598,65.503667,368.001755,0.145702,0,2,0,247.079553,1,0,121,64,551442.6188,4815098.573,-18,-85,-139,-146,-108,-33,13,43,-27,-79,-89,-60,12,73,105,32,-18,-32,-11,58,133,70,106,115,89,41,131,168,179,154,108,192,231,243,220,176
65,Polygon ZM,30766,8/13/2009,Hunt Lake,3.766452,55.464537,0,0,0,0,1,0,0,0,1,3584.179457,5.104074,588876.9725,4790258.577,377.300018,338,5.577875,0,0,0,0,0,251.268331,0,0,132,65,588876.9725,4790258.577,-5,-69,-127,-136,-97,-23,22,57,-12,-67,-79,-49,23,82,119,45,-7,-22,0,69,143,81,123,132,105,56,142,185,195,169,122,203,247,259,234,189
66,Polygon ZM,30966,4/10/2009,Daggett Pond,3.839774,23.286677,1,0,0,0,0,0,0,0,1,4317.223089,9.827164,593296.2649,4821197.123,269.399994,35,1.092595,0,0,0,0,0,219.83011,0,0,116,66,593296.2649,4821197.123,-4,-68,-129,-140,-98,-23,22,59,-10,-67,-81,-49,24,84,123,49,-4,-21,1,71,147,81,122,132,105,56,144,187,199,172,125,208,252,266,240,195
67,Polygon ZM,32010,10/30/2012,Paradox Lake,30.541198,378.214077,1,1,1,0,0,0,0,0,1,17203.73574,6.699668,603540.7322,4859693.478,248.699997,31,120.168724,534.823815,0.138589,0,1,0,181.7588,1,0,81,67,603540.7322,4859693.478,-5,-72,-133,-143,-101,-25,21,58,-13,-70,-83,-51,23,83,121,46,-7,-23,0,71,145,77,119,130,104,54,142,185,198,173,124,208,252,267,242,195
68,Polygon ZM,35320,10/30/2012,Loon Lake (Warren County),19.931736,212.345588,1,0,0,0,0,0,0,0,1,16746.90625,9.040041,591867.8276,4837004.615,264.600006,54,33.632037,74.479732,0.316917,0,0,0,207.827689,1,0,109,68,591867.8276,4837004.615,-4,-70,-130,-140,-100,-23,21,59,-11,-68,-81,-50,24,83,123,49,-5,-21,0,72,146,79,120,130,104,55,143,186,197,172,125,208,252,265,241,195
69,Polygon ZM,35321,10/30/2012,Schroon Lake,52.882524,1721.817843,1,0,1,0,0,0,0,0,1,23107.64151,8.159356,598579.9343,4846951.353,246,528,814.729457,2558.82074,0.197241,1,3,0,201.859183,1,1,97,69,598579.9343,4846951.353,-3,-70,-131,-141,-100,-23,22,60,-11,-68,-81,-50,24,84,124,49,-5,-21,0,72,147,80,122,131,105,55,145,188,199,173,125,210,254,268,242,196
70,Polygon ZM,37360,8/13/2009,Efner Lake,2.869246,41.007632,0,0,0,0,1,0,0,0,1,5851.249505,2.539899,586946.4667,4790958.472,356.300018,338,10.405523,71.513021,0,0,0,0,251.264405,0,0,131,70,586946.4667,4790958.472,-5,-69,-127,-136,-97,-23,22,56,-12,-67,-79,-49,23,82,118,45,-7,-22,0,69,143,81,122,132,106,55,142,184,195,170,121,203,246,259,234,188
71,Polygon ZM,76585,5/11/2009,Carry Falls Reservoir,42.915517,1243.220837,0,1,0,0,0,0,0,0,1,20538.91059,0.642211,520721.1455,4917996.088,422.5,47,2250.661373,17049.1443,0.063823,0,2,0,179.099827,1,15,31,71,520721.1455,4917996.088,-17,-92,-150,-157,-118,-36,13,43,-33,-89,-99,-67,9,71,103,26,-27,-41,-15,54,130,69,111,122,96,44,129,173,185,161,111,190,236,249,227,179
72,Polygon ZM,76586,5/11/2009,Tupper Lake,72.698103,1659.761881,0,1,0,0,0,0,0,0,1,0,2.663913,540471.5167,4893687.764,471,109,447.467697,3849.431838,0.066275,0,2,0,195.046955,1,2,61,72,540471.5167,4893687.764,-21,-94,-150,-157,-118,-38,9,41,-33,-86,-98,-66,8,69,103,29,-22,-38,-13,55,130,65,105,114,89,39,128,170,180,157,109,192,235,247,225,179
73,Polygon ZM,78438,1/11/2013,Raquette Lake,73.627418,2123.865136,0,1,0,0,0,0,0,0,1,35789.69091,2.685733,529085.7421,4854125.339,537.100037,179,295.031438,1347.603748,0.102214,0,4,0,223.203201,1,2,89,73,529085.7421,4854125.339,-24,-96,-151,-157,-117,-39,8,38,-34,-87,-97,-66,7,68,101,29,-22,-37,-14,53,129,66,103,110,84,36,127,166,175,151,105,189,230,241,219,175
74,Polygon ZM,78440,12/4/2008,Rainbow Falls Reservoir,17.624083,269.320257,0,1,0,0,0,0,0,0,1,19244.73154,1.991764,516717.2283,4928503.527,360,47,122.546307,508.342739,0,0,1,0,167.237417,1,2,15,74,516717.2283,4928503.527,-13,-88,-148,-156,-116,-33,16,46,-31,-88,-100,-66,11,73,105,26,-27,-43,-15,55,131,73,115,127,101,49,132,176,189,164,115,192,238,252,228,181
75,Polygon ZM,80331,1/11/2013,Cranberry Lake,128.093327,2793.676195,0,1,0,0,0,0,0,0,1,23135.72413,2.307866,509178.6646,4885809.351,452.600006,114,368.039072,591.080552,0.005035,0,1,0,204.165805,1,0,66,75,509178.6646,4885809.351,-21,-96,-152,-158,-119,-37,10,41,-34,-87,-99,-67,8,70,103,29,-22,-39,-14,54,130,68,107,116,91,40,129,171,181,158,109,190,235,247,226,178
76,Polygon ZM,80336,5/11/2009,Long Lake (Hamilton),77.985729,1685.449736,0,1,0,0,0,0,0,0,1,16443.58414,3.18502,551631.2787,4876804.882,496,116,763.758186,6026.052781,0.078088,0,3,0,210.815777,1,5,69,76,551631.2787,4876804.882,-22,-94,-148,-155,-116,-38,9,40,-32,-84,-95,-64,8,70,102,30,-20,-35,-12,55,131,64,102,111,86,37,128,167,177,154,107,192,233,244,222,177
77,Polygon ZM,82185,5/11/2009,Blake Falls Reservoir,28.557828,255.270886,0,1,0,0,0,0,0,0,1,23959.54974,3.43588,519399.5513,4925385.934,381,47,70.780795,175.288734,0,0,2,0,169.906881,1,0,19,77,519399.5513,4925385.934,-14,-88,-148,-157,-116,-34,15,45,-31,-88,-100,-66,10,73,105,27,-27,-42,-15,55,131,71,114,125,99,47,131,175,188,163,113,192,237,251,228,180
78,Polygon ZM,85824,5/11/2009,Horseshoe Lake,7.247426,160.8807,0,1,0,0,0,0,0,0,1,13278.82397,3.989355,530328.1346,4886568.617,526,47,11.914601,0.118186,0.502712,0,2,0,192.542141,1,0,65,78,530328.1346,4886568.617,-24,-98,-153,-159,-119,-40,8,38,-36,-89,-100,-67,6,68,100,26,-24,-40,-15,52,128,63,103,112,86,37,125,167,178,153,106,188,231,244,221,175
79,Polygon ZM,89604,8/8/2011,Chaumont Pond,26.078683,289.604263,0,1,0,0,0,0,0,0,1,35286.6441,2.804166,504169.3767,4895501.617,432.800018,224,448.285913,3531.777331,0.015882,0,0,0,193.243957,1,2,59,79,504169.3767,4895501.617,-18,-94,-151,-157,-117,-35,13,43,-33,-88,-98,-65,10,72,105,28,-24,-39,-13,55,131,69,110,119,94,42,130,173,184,160,110,191,236,249,227,179
80,Polygon ZM,89605,5/11/2009,Forked Lake,47.630392,611.764026,0,1,0,0,0,0,0,0,1,30139.42237,0.82971,534093.2743,4860818.057,531,20,444.091409,4467.184892,0.067906,0,0,1,213.755264,1,4,80,80,534093.2743,4860818.057,-24,-96,-150,-157,-117,-39,8,38,-34,-86,-98,-66,7,69,100,29,-22,-38,-14,54,130,64,102,110,85,36,126,166,176,152,105,189,230,242,220,175
81,Polygon ZM,91551,8/8/2011,Simon Pond,33.416408,315.394772,0,1,0,0,0,0,0,0,1,0,2.524353,544659.2921,4893443.392,471,109,28.712481,0,0,0,0,0,186.689071,1,0,62,81,544659.2921,4893443.392,-21,-94,-149,-156,-117,-38,9,41,-33,-85,-97,-65,8,70,103,29,-21,-37,-12,55,131,65,104,114,89,39,128,170,181,157,109,192,236,248,225,179
82,Polygon ZM,107014,12/10/2011,Lincoln Pond,16.817305,261.668446,1,0,0,0,0,0,0,0,1,31704.17063,3.31006,613538.4109,4887280.84,314,351,36.80347,50.959365,0.307618,0,1,0,155.311606,1,0,64,82,613538.4109,4887280.84,-8,-76,-137,-148,-108,-30,17,53,-18,-75,-89,-57,17,78,115,40,-13,-29,-5,64,139,73,116,129,101,50,137,181,196,169,119,202,247,263,237,189
83,Polygon ZM,108326,12/10/2011,Putnam Pond,10.036943,114.506182,1,0,0,0,0,0,0,0,1,9706.504373,0.712787,614138.4716,4854507.815,398.700012,31,19.269946,54.389945,0,0,1,0,178.437853,1,0,87,83,614138.4716,4854507.815,-10,-77,-137,-146,-105,-30,16,51,-19,-76,-88,-55,16,76,112,39,-14,-29,-5,63,137,73,115,126,100,50,136,179,192,167,118,200,244,259,234,187
84,Polygon ZM,114401,12/10/2011,Chazy Lake,20.666703,746.208084,1,0,0,0,0,0,0,0,1,6498.132347,6.158864,593442.8094,4954656.236,469.700012,99,47.299632,0,0.066902,0,1,0,125.774796,1,0,3,84,593442.8094,4954656.236,-12,-84,-144,-153,-114,-37,15,42,-33,-90,-100,-68,5,69,97,19,-35,-46,-21,47,123,72,117,128,103,50,128,175,188,164,113,185,233,249,225,176
85,Polygon ZM,119467,12/10/2011,Rogers Pond,0.419191,1.167499,0,0,0,0,0,0,0,0,0,40685.9798,2.856166,626972.8727,4898201.529,162,351,0.369094,0,0,0,0,0,137.896373,0,0,54,85,626972.8727,4898201.529,0,-67,-132,-142,-100,-22,24,60,-12,-72,-85,-51,24,84,120,44,-11,-27,-1,70,144,82,125,138,111,60,145,189,204,178,128,208,254,270,245,196
86,Polygon ZM,121312,12/10/2011,Highlands Forge Lake,3.422793,50.26079,1,0,0,0,0,0,0,0,1,22877.76031,5.041956,623871.2892,4918593.399,173,351,3.100876,0,0,0,0,0,129.179439,0,0,29,86,623871.2892,4918593.399,0,-67,-131,-141,-99,-23,24,59,-14,-73,-85,-51,22,82,118,40,-15,-29,-3,67,141,82,127,139,113,60,143,189,203,178,126,205,252,268,243,193
87,Polygon ZM,122516,9/7/2009,Deer River Flow,7.441707,107.865455,1,0,0,0,0,0,0,0,1,17103.88525,0.73783,555445.3367,4944417.269,444.399994,26,63.592277,56.572934,0.173447,1,0,0,144.794177,1,0,7,87,555445.3367,4944417.269,-17,-91,-149,-157,-119,-38,12,41,-35,-91,-101,-70,5,68,99,22,-32,-45,-20,49,125,69,110,121,96,42,127,171,184,160,108,186,232,247,224,175
88,Polygon ZM,123231,7/27/2009,Fulton Chain,98.345751,1804.172586,1,1,0,0,0,0,0,0,1,41531.46025,7.399603,513187.0037,4845299.747,520.299988,137,132.324677,133.655435,0.229195,0,7,0,245.948176,1,0,100,88,513187.0037,4845299.747,-23,-95,-152,-158,-119,-38,10,39,-33,-87,-98,-67,8,70,102,29,-21,-38,-14,54,130,68,106,114,87,37,128,168,179,154,106,189,231,244,221,175
89,Polygon ZM,123644,7/27/2009,Nicks Lake,8.56322,84.581758,0,1,0,0,0,0,0,0,1,39821.90023,0.330765,500608.3562,4835603.238,520.100037,137,11.127977,0.489768,0,0,1,0,240.209401,1,0,110,89,500608.3562,4835603.238,-22,-94,-152,-159,-119,-38,11,39,-33,-88,-100,-68,7,70,101,28,-23,-40,-16,53,129,70,107,114,88,38,129,168,178,153,105,188,230,243,219,173
