FID,Shape *,Lakes_OBJE,FDate,GNIS_Name,Shape_Leng,Shape_Area,EWM,VLM,CLP,WC,Fan,SWF,BN,YFH,Inv,Durb,Road_Dens,X,Y,ele,Lakes_freq,ws_area,area_up,sf_dens,ewm_up,launch_num,edit,URB_ISO,Lakes1.public_acc,Lakes1.vlm_up,Rowid,LAKES_POINT *,X,Y,CLIMTMIN_4,CLIMTMIN_3,CLIMTMIN_2,CLIMTMIN_1,CLIMTMIN_12,CLIMTMIN_11,CLIMTMIN_10,CLIMTMEAN_4,CLIMTMEAN_3,CLIMTMEAN_2,CLIMTMEAN_1,CLIMTMEAN_12,CLIMTMEAN_11,CLIMTMEAN_10,CLIMTMAX_4,CLIMTMAX_3,CLIMTMAX_2,CLIMTMAX_1,CLIMTMAX_12,CLIMTMAX_11,CLIMTMAX_10,CLIMTMIN_9,CLIMTMIN_8,CLIMTMIN_7,CLIMTMIN_6,CLIMTMIN_5,CLIMTMEAN_9,CLIMTMEAN_8,CLIMTMEAN_7,CLIMTMEAN_6,CLIMTMEAN_5,CLIMTMAX_9,CLIMTMAX_8,CLIMTMAX_7,CLIMTMAX_6,CLIMTMAX_5
90,Polygon ZM,124376,7/27/2009,Thendara Lake,6.521931,19.934743,0,1,0,0,0,0,0,0,1,38612.28837,1.870124,499452.2793,4838055.703,510,137,345.968692,3205.387976,0.105089,1,0,0,238.466677,1,1,106,90,499452.2793,4838055.703,-23,-94,-153,-159,-119,-38,11,39,-33,-88,-100,-68,7,70,101,29,-23,-40,-16,53,129,70,107,114,88,38,129,168,178,153,106,188,230,243,219,174
91,Polygon ZM,124717,1/11/2013,Stillwater Reservoir,163.298123,2520.532491,0,1,0,0,0,0,0,0,1,35815.39962,1.02922,503654.0643,4862168.634,512.100037,119,429.767172,2127.311863,0,0,1,0,229.304231,1,0,78,91,503654.0643,4862168.634,-23,-98,-154,-160,-120,-37,10,39,-35,-89,-100,-68,8,70,101,28,-23,-39,-15,54,130,68,108,115,90,38,128,170,179,156,106,189,232,244,222,175
92,Polygon ZM,125402,9/7/2009,Horseshoe Pond,3.779962,19.577065,1,0,0,0,0,0,0,0,1,15472.16455,3.199176,556235.7421,4946422.905,444.399994,26,9.400636,5.458703,0.312787,0,0,0,142.739971,0,0,6,92,556235.7421,4946422.905,-17,-91,-150,-157,-119,-38,12,41,-35,-92,-102,-70,5,68,99,22,-33,-46,-20,49,125,68,110,121,96,42,126,171,184,160,108,185,232,247,224,175
93,Polygon ZM,125445,9/7/2009,Meacham Lake,11.6873,486.36299,1,0,0,0,0,0,0,0,1,24231.22884,1.692057,556663.7319,4934547.062,473.100006,26,23.438491,0,0.1142,0,1,0,153.258187,1,0,11,93,556663.7319,4934547.062,-18,-93,-150,-158,-120,-39,12,40,-35,-90,-102,-70,5,69,99,23,-30,-45,-19,49,126,67,108,119,93,41,127,169,183,158,108,187,231,247,223,175
94,Polygon ZM,126896,9/8/2009,Mountain View Lake,11.923019,95.35649,1,0,0,0,0,0,0,0,1,15081.59741,7.950968,568847.7945,4950120.396,452.600006,26,117.208844,392.725254,0,2,0,0,137.070949,0,0,5,94,568847.7945,4950120.396,-16,-90,-148,-156,-118,-38,13,41,-35,-91,-101,-69,5,68,99,20,-33,-46,-20,48,124,70,110,122,96,43,128,170,184,159,108,186,231,247,223,174
95,Polygon ZM,127584,8/2/2012,Indian Lake (Franklin),5.008895,135.184473,1,0,0,0,0,0,0,0,1,13557.63282,9.23892,568540.7474,4951813.305,452.600006,26,8.106873,0.375185,0,0,0,0,135.348781,0,0,4,95,568540.7474,4951813.305,-17,-90,-149,-156,-118,-38,14,40,-35,-92,-102,-69,4,69,97,20,-34,-47,-20,47,124,69,111,122,97,43,126,171,184,160,108,184,231,247,223,174
96,Polygon ZM,127603,12/10/2011,Augur Lake,11.467248,152.649307,1,0,0,0,0,0,0,0,1,17213.91815,2.509334,619397.2211,4923913.076,168,351,31.377689,84.821942,0.746612,1,0,0,130.021665,0,0,22,96,619397.2211,4923913.076,1,-67,-131,-140,-98,-22,25,60,-14,-74,-84,-50,23,83,119,40,-16,-28,-2,68,142,83,127,140,114,61,144,189,204,179,127,206,252,269,244,194
97,Polygon ZM,128174,12/10/2011,Lake Colby,6.804799,125.529879,1,0,0,0,0,0,0,0,1,0,3.82884,567492.9746,4910311.118,474,197,2.638918,0,0.653674,0,1,0,167.171189,1,0,36,97,567492.9746,4910311.118,-19,-92,-149,-156,-118,-39,9,41,-32,-86,-98,-66,7,69,102,29,-23,-39,-14,53,129,65,105,116,90,39,128,169,182,157,108,191,234,248,224,177
98,Polygon ZM,128178,12/10/2011,Little Colby Pond,3.107649,17.251311,1,0,0,0,0,0,0,0,1,0,1.903651,567378.7515,4908988.868,474,103,9.175661,125.529967,0.278109,2,0,0,167.238877,1,0,39,98,567378.7515,4908988.868,-20,-93,-149,-156,-118,-39,9,41,-32,-86,-97,-66,7,69,102,29,-23,-38,-14,53,129,65,105,115,90,38,128,169,181,157,107,191,234,248,224,177
99,Polygon ZM,128535,1/11/2013,Follensby Clear Pond,14.710539,200.279468,1,0,0,0,0,0,0,0,1,11029.97546,1.217388,552518.0157,4907442.928,479,167,10.546834,163.785784,0.265336,0,1,0,173.753228,1,0,42,99,552518.0157,4907442.928,-21,-94,-151,-157,-120,-40,9,39,-34,-88,-98,-68,6,69,100,27,-25,-39,-15,52,129,64,104,115,89,38,126,168,180,156,107,189,233,246,223,176
100,Polygon ZM,128536,1/11/2013,Middle Saranac Lake,18.263501,572.143432,1,0,0,0,0,0,0,0,1,9012.509386,0.064812,558495.8,4900935.036,469,385,227.773021,4041.99474,0.151467,12,1,0,177.586048,1,9,52,100,558495.8,4900935.036,-20,-93,-149,-156,-118,-38,9,41,-32,-86,-97,-66,8,69,103,29,-22,-37,-13,55,130,65,104,115,89,39,129,169,181,156,109,193,235,248,224,179
101,Polygon ZM,128644,12/10/2011,Kiwassa Lake,7.790115,114.214831,1,0,0,0,0,0,0,0,1,1224.420681,3.164208,567158.4167,4904922.392,466,693,5.240754,0.130613,0.045767,0,0,0,171.033663,1,0,48,101,567158.4167,4904922.392,-20,-92,-148,-156,-118,-38,9,41,-31,-85,-97,-66,8,69,103,31,-22,-37,-13,55,130,65,105,115,89,39,128,170,181,156,108,192,235,248,224,178
102,Polygon ZM,128807,12/10/2011,Hadlock Pond,7.353723,87.982719,1,0,1,1,0,0,1,0,1,4093.071198,8.431174,615792.0897,4809313.072,138.400009,1322,23.277505,46.162621,0,0,0,0,216.773789,0,0,124,102,615792.0897,4809313.072,5,-58,-121,-132,-90,-16,28,70,0,-60,-73,-41,32,91,135,58,2,-14,8,80,155,88,131,142,115,66,153,197,210,184,136,218,263,279,253,206
103,Polygon ZM,128827,12/10/2011,Butternut Pond,4.322901,65.748829,1,0,0,0,0,0,0,0,1,21022.89422,3.16313,619643.5433,4920688.049,203,351,13.468308,0.409302,0.804263,0,0,0,130.745626,0,0,26,103,619643.5433,4920688.049,0,-69,-133,-143,-101,-24,24,58,-15,-75,-87,-53,21,82,117,39,-16,-30,-4,66,141,81,125,138,110,59,142,188,203,175,126,204,251,268,241,193
104,Polygon ZM,129002,7/17/2013,Lower Saranac Lake,47.524292,869.864879,1,1,1,0,0,0,0,0,1,150.701925,1.039715,566060.0503,4905921.956,468,615,321.501804,5120.705279,0.143493,19,2,0,174.907649,1,10,44,104,566060.0503,4905921.956,-21,-94,-149,-158,-119,-40,9,40,-33,-86,-99,-67,6,69,101,28,-23,-39,-14,53,129,63,104,114,89,38,126,168,180,156,107,190,233,247,223,177
105,Polygon ZM,129003,1/11/2013,Franklin Falls Pond,15.327068,181.475108,1,1,1,0,0,0,0,0,1,11918.42092,5.656337,581029.2401,4919204.659,446,117,751.648597,6935.840563,0.130666,27,1,0,155.993488,1,17,28,105,581029.2401,4919204.659,-19,-90,-148,-156,-117,-40,9,40,-32,-87,-98,-66,5,67,100,27,-26,-40,-15,51,126,65,107,118,92,40,126,170,183,158,108,188,233,248,224,176
106,Polygon ZM,129005,5/25/2010,Lower Chateaugay Lake,7.617198,221.688994,1,0,1,0,0,0,0,0,1,18126.92955,6.970089,577600.3086,4963313.764,399,17,256.013244,1132.18785,0.076736,2,0,0,123.751166,1,0,1,106,577600.3086,4963313.764,-12,-84,-145,-154,-115,-35,17,44,-32,-90,-101,-68,7,71,100,21,-34,-47,-20,49,126,73,116,128,102,49,130,175,189,164,113,188,235,251,227,178
107,Polygon ZM,129417,7/17/2013,Union Falls Pond,36.447278,659.563164,1,1,0,0,0,0,0,0,1,15458.80216,2.150974,584287.0143,4926803.307,430,117,849.029658,7136.727486,0.124069,28,1,0,153.066786,0,18,16,107,584287.0143,4926803.307,-15,-86,-145,-153,-114,-37,14,44,-29,-86,-96,-64,8,72,103,28,-26,-39,-14,54,130,70,111,123,96,44,131,173,188,161,111,192,236,253,227,179
108,Polygon ZM,129492,12/10/2011,Square Pond,5.599697,85.663333,1,1,0,0,0,0,0,0,1,8722.396068,10.935012,550276.9428,4905788.847,479,22,66.214654,1016.771251,0.00291,3,1,0,174.909267,1,0,45,108,550276.9428,4905788.847,-21,-94,-150,-157,-119,-39,9,40,-34,-87,-98,-67,7,69,101,27,-24,-39,-14,53,129,65,105,114,89,39,128,169,180,156,108,191,234,247,224,177
109,Polygon ZM,129857,1/11/2013,Lake Flower,14.899035,130.996252,1,1,1,0,0,0,0,0,1,0,6.87175,569888.5946,4905436.608,466,268,482.111236,6661.184828,0.125282,25,3,0,169.93902,1,15,46,109,569888.5946,4905436.608,-20,-92,-148,-156,-118,-38,9,41,-31,-85,-97,-66,8,69,102,31,-22,-37,-13,55,130,65,105,115,90,39,128,170,181,157,109,192,235,248,224,179
110,Polygon ZM,129858,5/25/2010,Upper Chateaugay Lake,25.762087,1031.145133,1,0,1,0,0,0,0,0,1,17457.91249,2.116053,581731.7637,4954721.821,399,140,208.980582,95.814677,0.051021,0,1,0,131.322015,1,0,2,110,581731.7637,4954721.821,-11,-83,-143,-153,-113,-34,17,45,-30,-87,-99,-65,8,72,101,24,-31,-44,-17,51,127,74,117,129,102,49,131,177,191,165,113,189,237,253,228,178
111,Polygon ZM,130300,12/10/2011,Floodwood Pond,10.153008,94.323773,1,0,0,0,0,0,0,0,1,9260.965632,1.787599,548610.7866,4908857.465,479,22,56.678192,823.187211,0,0,0,0,173.795368,1,0,40,111,548610.7866,4908857.465,-21,-95,-150,-157,-118,-39,9,40,-34,-87,-98,-66,7,68,101,27,-24,-39,-14,53,128,65,105,115,90,39,128,169,181,157,108,191,234,247,224,177
112,Polygon ZM,130301,7/17/2013,Upper Saranac Lake,76.758399,1969.193752,1,1,0,0,0,0,0,0,1,8956.945574,3.395363,554189.1479,4904791.346,479,169,199.90373,2298.018411,0.133477,9,2,0,181.584604,1,6,49,112,554189.1479,4904791.346,-21,-94,-150,-157,-119,-39,8,40,-33,-87,-98,-67,7,68,101,28,-24,-38,-14,53,129,65,104,114,89,38,128,169,180,156,107,191,234,247,224,177
113,Polygon ZM,130304,1/11/2013,Taylor Pond,15.69934,357.816119,1,0,0,0,0,0,0,0,1,20771.66258,0.569559,590950.6225,4926437.887,425,41,28.920149,11.996908,0,0,1,0,145.814591,1,0,17,113,590950.6225,4926437.887,-13,-84,-143,-152,-113,-36,14,45,-28,-84,-95,-63,9,71,104,29,-25,-38,-13,54,129,70,112,124,99,47,130,174,188,164,114,191,237,253,229,181
114,Polygon ZM,130378,12/10/2011,Fish Creek Ponds,6.989403,65.171642,1,1,0,0,0,0,0,0,1,9703.344615,9.098103,551160.3037,4905161.059,479,169,82.404423,1469.526592,0.069725,6,0,0,174.717993,1,3,47,114,551160.3037,4905161.059,-22,-94,-151,-158,-120,-40,9,39,-34,-88,-99,-68,6,69,100,27,-25,-39,-15,52,129,64,104,114,88,38,127,168,180,155,107,190,233,246,223,176
115,Polygon ZM,130476,12/10/2011,Copperas Pond,1.494564,9.754914,1,0,0,0,0,0,0,0,1,6782.249887,8.071561,587740.0251,4909153.258,551,41,0.32968,0,0,0,0,0,156.941833,0,0,38,115,587740.0251,4909153.258,-22,-93,-149,-157,-119,-43,6,37,-35,-88,-99,-68,3,64,97,24,-27,-41,-17,49,123,63,103,113,88,37,124,165,177,153,105,185,228,242,219,173
116,Polygon ZM,130753,7/17/2013,Second Pond,8.063168,60.973287,1,1,0,0,0,0,0,0,1,3715.724578,0.76636,565589.7683,4903691.727,468,625,324.393066,5989.941369,0.147604,19,1,0,171.791699,1,10,50,116,565589.7683,4903691.727,-21,-94,-149,-157,-119,-40,9,40,-33,-86,-98,-67,6,69,101,28,-23,-38,-14,53,129,63,104,114,88,37,126,168,180,155,107,190,233,247,222,177
117,Polygon ZM,130754,7/17/2013,Oseetah Lake,23.965099,305.741197,1,1,0,0,0,0,0,0,1,716.394824,1.165861,569183.1217,4903522.157,466,693,416.997643,6203.006404,0.115395,24,0,0,172.271931,1,14,51,117,569183.1217,4903522.157,-19,-92,-149,-156,-117,-39,9,42,-31,-86,-97,-65,8,69,104,31,-22,-37,-13,55,130,65,105,115,89,39,129,170,181,156,109,193,235,248,224,179
118,Polygon ZM,130755,1/11/2013,Lake Placid,33.943107,796.868735,0,1,0,0,0,0,0,0,1,0,2.141587,583000.4336,4908540.192,566,357,54.423572,75.716172,0.033078,0,3,0,165.083931,1,0,41,118,583000.4336,4908540.192,-23,-95,-150,-158,-120,-44,6,36,-36,-89,-100,-69,2,65,96,24,-28,-42,-18,48,124,61,101,112,86,36,122,164,176,152,104,184,227,241,218,172
119,Polygon ZM,76586,5/11/2009,Raquette Pond,16.972749,455.38088,0,1,0,0,0,0,0,0,1,0,1.5918,541443.2863,4896699.176,471,114,1827.639272,15749.35933,0.062059,0,2,0,185.770925,1,12,56,119,541443.2863,4896699.176,-21,-94,-150,-157,-118,-38,9,41,-33,-86,-98,-66,8,69,103,28,-22,-38,-13,54,130,65,105,115,90,39,128,170,181,158,109,192,235,248,226,179
120,Polygon ZM,78438,1/11/2013,Eldon Lake,4.468414,49.940754,0,1,0,0,0,0,0,0,1,40802.74053,1.441494,530370.6434,4854435.288,537.100037,323,1.859072,0,0,0,4,0,214.730022,1,0,88,120,530370.6434,4854435.288,-24,-96,-151,-157,-117,-39,8,38,-34,-87,-97,-65,7,68,101,29,-22,-37,-13,53,129,65,102,110,85,36,126,166,175,152,105,188,230,241,219,174
121,Polygon ZM,27837,4/10/2009,Lake Forest,3.807441,10.615927,0,0,0,0,0,0,0,0,0,5856.943128,9.431048,598012.2344,4802317.39,214.900009,338,15.305863,21.140483,0.165057,0,0,0,234.997934,0,0,128,121,598012.2344,4802317.39,0,-62,-124,-135,-94,-19,26,65,-4,-63,-76,-45,28,88,130,55,-1,-16,5,76,151,85,127,138,110,61,149,192,205,177,131,213,258,272,245,201
122,Polygon ZM,87557,5/25/2010,Clear Pond (Parishville),2.067505,14.428572,0,0,0,0,0,0,0,0,0,18687.44597,0.621284,517920.4446,4933718.059,395.899994,47,0.230171,0,0,0,1,0,160.85503,1,0,12,122,517920.4446,4933718.059,-14,-90,-150,-157,-118,-35,15,44,-34,-90,-101,-68,8,71,103,23,-30,-45,-18,52,128,72,114,125,99,46,131,174,187,162,111,190,235,249,226,177
123,Polygon ZM,91235,7/8/2009,Clear Pond (Lewis County),0.87363,3.613303,0,0,0,0,0,0,0,0,0,25620.96173,2.316895,481967.1684,4870053.109,417,28,0.103153,0,0,0,0,0,215.096173,1,0,73,123,481967.1684,4870053.109,-14,-89,-148,-154,-114,-32,16,45,-30,-86,-96,-64,12,74,105,30,-23,-38,-13,56,132,73,113,122,96,45,132,174,185,160,111,192,236,248,225,178
124,Polygon ZM,124663,9/7/2009,Clear Pond (Duane),3.353404,33.56048,0,0,0,0,0,0,0,0,0,24444.33101,4.182549,556728.0096,4937357.937,475.5,26,0.610366,0,0,0,1,0,149.184991,1,0,9,124,556728.0096,4937357.937,-19,-93,-151,-159,-120,-40,11,39,-36,-91,-103,-70,4,68,98,22,-31,-46,-20,48,125,67,107,119,92,40,126,168,182,156,107,185,230,245,221,174
125,Polygon ZM,15808,1/12/2013,Caroga Lakes,13.374379,223.520165,1,0,0,0,0,0,0,0,1,9775.213442,9.448895,540737.8971,4776188.584,442.600006,10,14.898294,0,0.448117,0,2,0,284.699582,1,0,135,125,540737.8971,4776188.584,-8,-72,-125,-132,-95,-26,21,52,-17,-68,-79,-49,19,80,113,39,-11,-26,-3,65,140,79,118,128,101,52,139,180,191,166,118,199,242,254,231,184
126,Polygon ZM,80335,5/11/2009,Utowana Lake,11.02363,126.579444,0,0,0,0,0,0,0,0,0,39839.2465,0.893233,538687.2528,4853535.864,545.5,323,5809.65,642.821406,0.26735,0,0,0,214.18078,1,0,90,126,538687.2528,4853535.864,-25,-98,-151,-157,-118,-40,7,36,-36,-87,-98,-67,5,67,98,26,-23,-39,-16,51,127,63,99,108,82,34,124,162,173,149,103,186,226,238,216,172
127,Polygon ZM,82090,5/11/2009,Eagle Lake,7.531192,73.036936,0,0,0,0,0,0,0,0,0,38446.05005,2.531616,541824.9697,4855004.83,545.600037,323,3209.54,567.132186,0.333907,0,0,0,211.48348,1,0,84,127,541824.9697,4855004.83,-24,-95,-149,-155,-115,-39,8,38,-33,-85,-96,-64,7,69,100,29,-21,-37,-13,53,130,64,101,109,84,35,126,165,174,151,104,189,229,240,218,174
128,Polygon ZM,82183,5/11/2009,Blue Mountain Lake,24.116165,509.103866,0,0,0,0,0,0,0,0,0,36292.67528,3.689301,543615.1852,4856313.624,545.600037,126,2808.63,57.788851,0.295457,0,0,0,211.068852,1,0,83,128,543615.1852,4856313.624,-24,-95,-149,-156,-115,-39,8,38,-33,-86,-97,-64,7,69,100,29,-22,-37,-13,54,130,64,100,109,83,35,126,164,175,150,104,189,229,241,218,174
129,Polygon ZM,83828,5/11/2009,Lower Pond,4.018088,63.922603,0,0,0,0,0,0,0,0,0,46515.54891,2.462443,524212.5416,4850756.481,537.900024,327,333.98,0,0,0,0,0,219.584403,1,0,92,129,524212.5416,4850756.481,-25,-97,-152,-158,-119,-39,8,37,-35,-88,-99,-67,6,68,99,28,-23,-39,-15,52,128,66,102,111,85,36,127,165,176,151,105,188,229,241,218,174
130,Polygon ZM,85590,7/8/2009,Brown's Falls,7.239742,58.38092,0,0,0,0,0,0,0,0,0,33682.02623,0.192408,497997.81,4895127.768,409.700012,224,46196.13,3843.779706,0.015414,0,0,0,192.67618,1,4,60,130,497997.81,4895127.768,-18,-92,-150,-157,-117,-35,13,43,-32,-87,-98,-66,10,71,104,28,-24,-39,-14,55,130,70,111,121,95,44,130,173,184,160,112,191,236,248,226,180
131,Polygon ZM,85767,1/11/2013,Lake Eaton,9.052205,232.207605,0,0,0,0,0,0,0,0,0,23497.30446,4.229826,542786.2173,4869669.605,523,116,1111.56,0.471005,0.184187,0,0,0,200.81419,1,0,74,131,542786.2173,4869669.605,-23,-96,-150,-156,-117,-39,8,39,-34,-86,-97,-65,7,69,101,28,-21,-37,-13,54,130,64,101,110,85,36,127,166,176,153,106,190,231,242,221,176
132,Polygon ZM,85827,12/4/2008,Joe Indian Pond,8.327656,144.531782,0,0,0,0,0,0,0,0,0,26307.36674,2.426099,521806.2377,4925758.996,393.800018,47,5287,31.206469,0,0,0,0,166.735641,0,0,18,132,521806.2377,4925758.996,-14,-90,-149,-156,-117,-35,15,45,-32,-89,-99,-67,9,73,105,26,-28,-42,-16,54,131,71,113,125,98,46,131,174,188,162,112,191,236,251,227,179
133,Polygon ZM,87656,5/11/2009,Clear Pond,1.51685,5.549176,0,0,0,0,0,0,0,0,0,24537.3263,12.217802,544318.8878,4869553.43,522,116,1146.65,232.617229,0.23557,0,0,0,198.695213,0,0,75,133,544318.8878,4869553.43,-24,-96,-149,-156,-117,-39,7,38,-34,-85,-97,-66,7,68,100,28,-21,-37,-14,53,129,64,101,110,84,35,127,165,176,152,104,190,230,242,220,174
134,Polygon ZM,89537,12/4/2008,Little Wolf Pond,3.964867,66.143702,0,0,0,0,0,0,0,0,0,0,8.259227,541575.3618,4900150.513,478,114,2635.61,414.612803,0,0,0,0,180.955332,1,0,53,134,541575.3618,4900150.513,-20,-94,-150,-157,-117,-38,9,41,-33,-87,-98,-65,8,69,103,29,-23,-38,-13,54,130,65,105,115,90,39,128,170,181,157,108,191,235,248,225,178
135,Polygon ZM,91270,8/8/2011,Oswegatchie River Impoundment,10.60792,60.600697,0,1,0,0,0,0,0,0,1,30499.59727,1.483105,494205.4309,4895775.656,328.300018,224,51623.62,4032.294226,0.029189,0,0,0,192.883277,0,4,58,135,494205.4309,4895775.656,-12,-86,-146,-152,-113,-30,17,49,-27,-84,-94,-62,15,76,110,33,-21,-36,-10,60,136,74,116,126,100,48,135,179,190,165,116,197,242,254,231,184
